"","ENT","Entidad","MUN","Municipio","Alf","Asi","EBC","Der","Pis","San","Agu","Dre","Ele","Lav","Ref","Ing"
"154",21,"Puebla",119,"San Andrés Cholula",0.980817533821462,0.984592634993322,0.760059119814862,0.734000839663818,0.990915128171072,0.986319564351175,0.950776995616948,0.992269889759596,0.999495284898393,0.706016735290211,0.914357816443087,15778.5888480533
"155",21,"Puebla",156,"Tehuacán",0.933377798194314,0.956678314198103,0.578037135278515,0.788031571162977,0.940667642824624,0.933801725092591,0.960071858350457,0.963652471361248,0.990291739981051,0.531075045219082,0.778260388084311,10343.2695710886
"156",22,"Querétaro",5,"Colón",0.916249614572709,0.965559858284584,0.493789926144055,0.864189564625119,0.977148774594408,0.834725578184329,0.981014842940973,0.869244045564377,0.987642388677943,0.516327235070763,0.779357956506731,13788.8014558075
"157",22,"Querétaro",6,"Corregidora",0.977673877541889,0.980723879831847,0.801509755805602,0.852143387726739,0.991290880566394,0.983446639044209,0.977171245826461,0.99493141317028,0.996580715233919,0.855163119996782,0.953497727181303,22665.8500306735
"158",22,"Querétaro",11,"El Marqués",0.951909213524952,0.967847605483354,0.646562561108473,0.856147773963978,0.981441654785782,0.963342435299519,0.94739385738105,0.983737283425561,0.99291979798468,0.646763163617911,0.875842737355919,9979.78774820387
"159",22,"Querétaro",14,"Querétaro",0.975012826231585,0.973999764303812,0.760443587388668,0.849360954143431,0.990756471306982,0.983860439036229,0.981826779034053,0.987894283155772,0.99777385366017,0.792035250106704,0.927767409552344,17435.4206214298
"160",22,"Querétaro",16,"San Juan del Río",0.958528325123153,0.974727092292425,0.686683723635914,0.859251221720934,0.988075652112775,0.954805596568938,0.985446108415946,0.967939253322084,0.993194122196442,0.695169795401814,0.909034662166913,13405.1422462337
"161",23,"Quintana Roo",1,"Cozumel",0.969979546150006,0.971042600147128,0.730017761989343,0.842007458602212,0.992006957674149,0.993704961484304,0.976020873022447,0.995320135840305,0.996396918744305,0.760084486043237,0.879690217841464,14216.4931162804
"162",23,"Quintana Roo",4,"Othón P. Blanco",0.955534019154021,0.974910394265233,0.702979605612073,0.87400288743383,0.972659627022354,0.971054094108929,0.985858960108682,0.985457576880326,0.988545140175374,0.791990860812647,0.87240644683216,12350.523695709
"163",23,"Quintana Roo",5,"Benito Juárez",0.976604672469079,0.964200618483533,0.742765137459633,0.775245911781082,0.988713674250957,0.995755800856049,0.969565217391304,0.9953908537959,0.992074791619734,0.751061049785988,0.89053390403244,16563.6520471647
"164",23,"Quintana Roo",8,"Solidaridad",0.977977671534463,0.949088071783868,0.752999902123911,0.768739701270398,0.98915344301543,0.991751945227077,0.982686384140377,0.993722719376359,0.989941752675143,0.625465321674136,0.810864074977008,17188.917308379
